 ,Player History Audit ,,,,,,,,,,,,,,,
Zach,1/21/2025 21:51:45,1913,Max Fried,ATL,SP,29,MLB,,50,,MLB,Jepordizers!,Keeper Contract,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1914,Nick Castellanos,PHI,OF,31,MLB,,93,,MLB,Law-Abiding Citizens,Keeper Contract,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1915,Rafael Devers,BOS,3B,26,MLB,,22,,MLB,The Bluke Blokes,Franchise Contract,[3] F1,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1916,Raisel Iglesias,ATL,RP,,,,91,,MLB,Rick Vaughn,Keeper Contract,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1917,Ronald Acuña Jr.,ATL,OF,25,MLB,,1,,MLB,Jepordizers!,Franchise Contract,[3] F1,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1918,Shane Bieber,CLE,SP,28,MLB,,137,,MLB,Rick Vaughn,Keeper Contract,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1919,Shohei Ohtani (Batter),LAD,Util,,,,12,,MLB,Whiz Kids,Keeper Contract,[6] Y2,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1922,Walker Buehler,LAD,SP,,,,118,,MLB,Country Fried Lamb,Keeper Contract,[6] Y2,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1924,Yu Darvish,SD,SP,36,MLB,,178,,MLB,not much of a donkey,Keeper Contract,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1927,Austin Riley,ATL,3B,26,MLB,,19,,MLB,Law-Abiding Citizens,Keeper Contract,[4] Y0,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1928,Bo Bichette,TOR,SS,25,MLB,,38,,MLB,Weekend Warriors,Keeper Contract ,[4] Y0,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1930,Bryan Reynolds,PIT,CF,28,MLB,,84,,MLB,Whiz Kids,Keeper Contract ,[4] Y0,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1931,Byron Buxton,MIN,Util,29,MLB,,227,,MLB,The Bluke Blokes,Keeper Contract,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1933,Carlos Correa,MIN,SS,,MLB,,216,,MLB,Btwn2Jackies,Keeper Contract,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1934,Carlos Rodón,NYY,SP,30,MLB,,168,,MLB,Law-Abiding Citizens,Keeper Contract ,[4] Y0,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1935,Cedric Mullins,BAL,CF,28,MLB,,123,,MLB,Hammers,Keeper Contract,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1936,Chris Bassitt,TOR,SP,,,,119,,MLB,Weekend Warriors,Keeper Contract,[6] Y2,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1937,Chris Sale,ATL,SP,34,MLB,,145,,MLB,The Bluke Blokes,Keeper Contract ,[4] Y0,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1940,Corbin Burnes,BAL,SP,28,MLB,,20,,MLB,The Bluke Blokes,Keeper Contract,[4] Y0,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1941,Corey Seager,TEX,SS,29,MLB,,23,,MLB,Country Fried Lamb,Keeper Contract ,[4] Y0,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1942,Dansby Swanson,CHC,SS,29,MLB,,110,,MLB,The Bluke Blokes,Keeper Contract ,[4] Y0,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1943,Dylan Cease,CWS,SP,27,MLB,,95,,MLB,Whiz Kids,Keeper Contract,[4] Y0,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1945,Fernando Tatis Jr.,SD,OF,24,MLB,,10,,MLB,La Flama Blanca,Keeper Contract,[4] Y0,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1946,Framber Valdez,HOU,SP,29,MLB,,55,,MLB,Hammers,Keeper Contract,[4] Y0,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1947,Frankie Montas,CIN,RP,,,,338,,MLB,Rick Vaughn,,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1949,Freddy Peralta,MIL,SP,,,,57,,MLB,Whiz Kids,Keeper Contract,[6] Y2,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1952,Jesse Winker,WSH,OF,,,,843,,MLB,Btwn2Jackies,,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1953,Joe Musgrove,SD,SP,30,MLB,,99,,MLB,Rick Vaughn,Keeper Contract,[4] Y0,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1957,Kenley Jansen,BOS,RP,,,,169,,MLB,Btwn2Jackies,Keeper Contract,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1958,Kevin Gausman,TOR,SP,32,MLB,,30,,MLB,Rick Vaughn,Keeper Contract,[4] Y0,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1959,Kyle Schwarber,PHI,OF,30,MLB,,58,,MLB,not much of a donkey,Keeper Contract,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1960,Kyle Tucker,HOU,OF,26,MLB,,6,,MLB,Rick Vaughn,Keeper Contract ,[4] Y0,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1962,Liam Hendriks,BOS,RP,,,,,,MLB,Law-Abiding Citizens,,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1963,Manny Machado,SD,3B,30,MLB,,53,,MLB,Btwn2Jackies,Keeper Contract ,[4] Y0,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1964,Marcus Semien,TEX,2B,32,MLB,,24,,MLB,Hammers,Keeper Contract ,[4] Y0,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1965,Max Scherzer,TEX,SP,38,MLB,,254,,MLB,Rick Vaughn,,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1967,Mike Trout,LAA,CF,31,MLB,,51,,MLB,Andromedans,Keeper Contract,[4] Y0,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1969,Nathan Eovaldi,TEX,SP,,,,176,,MLB,Whiz Kids,Keeper Contract,[6] Y2,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1970,Paul Goldschmidt,STL,1B,35,MLB,,62,,MLB,Rick Vaughn,Keeper Contract ,[4] Y0,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1971,Pete Alonso,NYM,1B,28,MLB,,25,,MLB,Law-Abiding Citizens,Keeper Contract ,[4] Y0,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1972,Ranger Suárez,PHI,SP,,MLB,,300,,MLB,Country Fried Lamb,Keeper Contract,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1973,Robbie Ray,SF,SP,31,MLB,,394,,MLB,Rick Vaughn,Keeper Contract,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1976,Salvador Perez,KC,"C,1B",33,MLB,,138,,MLB,Rick Vaughn,Keeper Contract ,[5] Y1,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1977,Sandy Alcantara,MIA,SP,27,MLB,,560,,MLB,Whiz Kids,Keeper Contract,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1978,Sean Manaea,NYM,"SP,RP",,,,321,,MLB,Btwn2Jackies,,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1980,Teoscar Hernández,LAD,OF,30,MLB,,112,,MLB,Rick Vaughn,Keeper Contract,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1981,Tommy Edman,STL,"2B,SS,CF",28,MLB,,171,,MLB,Whiz Kids,Keeper Contract,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1985,Tyler O'Neill,BOS,CF,,MLB,,224,,MLB,not much of a donkey,Keeper Contract,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1986,Vladimir Guerrero Jr.,TOR,1B,24,MLB,,29,,MLB,Weekend Warriors,Keeper Contract ,[4] Y0,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1987,Will Smith,LAD,C,28,MLB,,75,,MLB,Btwn2Jackies,Keeper Contract ,[4] Y0,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1989,Yordan Alvarez,HOU,OF,26,MLB,,17,,MLB,Hammers,Keeper Contract ,[4] Y0,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1990,Zac Gallen,AZ,SP,27,MLB,,36,,MLB,Law-Abiding Citizens,Keeper Contract ,[4] Y0,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1998,Aaron Civale,TB,SP,,,,207,,MLB,Andromedans,Keeper Contract,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2001,Aaron Nola,PHI,SP,30,MLB,,46,,MLB,not much of a donkey,Keeper Contract ,[5] Y1,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2022,Adolis García,TEX,CF,30,MLB,,37,,MLB,La Flama Blanca,Keeper Contract ,[5] Y1,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2038,Masataka Yoshida,BOS,OF,29,MLB,,155,,MLB,Country Fried Lamb,Keeper Contract,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2039,Alec Bohm,PHI,"1B,3B",26,MLB,,143,,MLB,Whiz Kids,Keeper Contract,[5] Y1,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2061,Alex Vesia,LAD,RP,,,,646,,MLB,Btwn2Jackies,,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2073,Andrés Giménez,CLE,2B,24,MLB,,117,,MLB,Andromedans,Keeper Contract,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2080,Andrew Heaney,TEX,"SP,RP",,,,324,,MLB,not much of a donkey,,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2109,Anthony Santander,BAL,"1B,OF",,,,121,,MLB,La Flama Blanca,Keeper Contract,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2138,Bailey Ober,MIN,SP,,,,156,,MLB,Weekend Warriors,Keeper Contract,[6] Y2,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2152,Blake Treinen,LAD,RP,,,,777,,MLB,Andromedans,Keeper Contract,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2165,Brady Singer,KC,SP,25,MLB,,373,,MLB,Rick Vaughn,Keeper Contract ,[6] Y2,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2176,Brandon Nimmo,NYM,CF,30,MLB,,180,,MLB,Btwn2Jackies,Keeper Contract,[5] Y1,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2181,Braxton Garrett,MIA,SP,,,,184,,MLB,The Bluke Blokes,Keeper Contract,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2184,Brent Rooker,OAK,OF,,,,262,,MLB,Hammers,,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2202,Bryan Abreu,HOU,RP,,,,313,,MLB,Andromedans,Keeper Contract,[6] Y2,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2210,Bryce Harper,PHI,1B,30,MLB,,18,,MLB,Btwn2Jackies,Keeper Contract ,[5] Y1,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2211,Bryce Miller,SEA,SP,24.9,MLB,,181,,MLB,Hammers,Keeper Contract,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2216,Cal Raleigh,SEA,C,,,,135,,MLB,Country Fried Lamb,Keeper Contract,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2229,Carlos Estévez,LAA,RP,,,,248,,MLB,Btwn2Jackies,,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2239,Casey Mize,DET,SP,,,,363,,MLB,Weekend Warriors,,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2253,Charlie Morton,ATL,SP,,,,199,,MLB,Jepordizers!,Keeper Contract,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2274,Christian Walker,AZ,1B,32,MLB,,74,,MLB,Rick Vaughn,Keeper Contract ,[5] Y1,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2275,Christian Yelich,MIL,OF,31,MLB,,73,,MLB,Hammers,Keeper Contract ,[5] Y1,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2278,Clay Holmes,NYY,RP,,,,154,,MLB,The Bluke Blokes,Keeper Contract,[6] Y2,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2300,Connor Wong,BOS,C,,,,383,,MLB,La Flama Blanca,,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2314,Cristopher Sánchez,PHI,SP,,,,236,,MLB,Hammers,Keeper Contract,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2349,David Bednar,PIT,RP,,,,92,,MLB,Btwn2Jackies,Keeper Contract,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2357,David Peterson,NYM,"SP,RP",,,,659,,MLB,Weekend Warriors,,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2378,Devin Williams,MIL,RP,28,MLB,,52,,MLB,Hammers,Keeper Contract ,[5] Y1,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2409,Drew Rasmussen,TB,SP,,,,440,,MLB,Rick Vaughn,,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2434,Eduardo Rodriguez,AZ,SP,,,,173,,MLB,Jepordizers!,Keeper Contract,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2437,Edwin Díaz,NYM,RP,,,,64,,MLB,The Bluke Blokes,Keeper Contract,[6] Y2,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2445,Elly De La Cruz,CIN,"3B,SS",21.6,MLB,,28,,MLB,not much of a donkey,Keeper Contract ,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2448,Emmanuel Clase,CLE,RP,25,MLB,,65,,MLB,The Bluke Blokes,Keeper Contract,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2463,Erick Fedde,CWS,SP,,,,339,,MLB,Jepordizers!,,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2466,Erik Swanson,TOR,RP,,,,465,,MLB,Country Fried Lamb,Keeper Contract,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2472,Eugenio Suárez,AZ,3B,,,,232,,MLB,Jepordizers!,,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2477,Evan Phillips,LAD,RP,,,,131,,MLB,Andromedans,Keeper Contract,[6] Y2,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2483,Francisco Lindor,NYM,SS,29,MLB,,26,,MLB,Andromedans,Keeper Contract,[5] Y1,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2492,Garrett Cleavinger,TB,RP,,,,760,,MLB,Weekend Warriors,,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2494,Garrett Crochet,CWS,RP,,,,473,,MLB,Country Fried Lamb,Keeper Contract,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2500,Gavin Lux,LAD,"2B,OF",,,,272,,MLB,La Flama Blanca,Keeper Contract,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2502,Gavin Williams,CLE,SP,24,MLB,3,164,,MLB,not much of a donkey,Keeper Contract,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2521,Griffin Jax,MIN,RP,,,,642,,MLB,Whiz Kids,Keeper Contract,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2523,Ha-Seong Kim,SD,"2B,3B,SS",,,,78,,MLB,Whiz Kids,Keeper Contract,[6] Y2,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2550,Ian Happ,CHC,OF,,MLB,,142,,MLB,not much of a donkey,Keeper Contract,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2555,Isaac Paredes,TB,"1B,2B,3B",,,,159,,MLB,Weekend Warriors,Keeper Contract,[6] Y2,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2575,Jackson Merrill,SD,SS,20,AA,,14,2024,MLB,Hammers,Keeper Contract,[8] R-4,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2588,Jake Burger,MIA,3B,,,,153,,MLB,La Flama Blanca,Keeper Contract,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2620,Jared Jones,PIT,SP,22,AAA,,61,2024,MLB,Country Fried Lamb,Keeper Contract,[8] R-4,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2624,Jarren Duran,BOS,CF,,,,182,,MLB,Jepordizers!,Keeper Contract,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2626,Jason Adam,TB,RP,,,,316,,MLB,Hammers,Keeper Contract,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2636,Jazz Chisholm Jr.,MIA,CF,25,MLB,,67,,MLB,La Flama Blanca,Keeper Contract ,[5] Y1,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2641,Jeff Hoffman,PHI,RP,,,,488,,MLB,The Bluke Blokes,Keeper Contract,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2644,Jeffrey Springs,TB,SP,,,,377,,MLB,Rick Vaughn,Keeper Contract,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2654,Jesús Luzardo,MIA,SP,25,MLB,,83,,MLB,La Flama Blanca,Keeper Contract ,[5] Y1,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2669,Joc Pederson,AZ,OF,,,,380,,MLB,Country Fried Lamb,,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2672,Joe Jiménez,ATL,RP,,MLB,,571,,MLB,Hammers,,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2679,Joel Payamps,MIL,RP,,,,424,,MLB,not much of a donkey,Keeper Contract,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2713,Jonathan India,CIN,2B,,,,220,,MLB,The Bluke Blokes,Keeper Contract,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2734,Jorge López,NYM,RP,,,,647,,MLB,Country Fried Lamb,,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2767,Josh Naylor,CLE,1B,,,,124,,MLB,Whiz Kids,Keeper Contract,[6] Y2,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2774,Josh H. Smith,TEX,"3B,SS,OF",,,,532,,MLB,Andromedans,,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2795,Jurickson Profar,SD,OF,,,,841,,MLB,La Flama Blanca,,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2801,Justin Steele,CHC,SP,,MLB,,90,,MLB,Law-Abiding Citizens,Keeper Contract,[6] Y2,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2835,Kirby Yates,TEX,RP,,,,505,,MLB,The Bluke Blokes,Keeper Contract,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2844,Kris Bubic,KC,SP,,,,728,,MLB,The Bluke Blokes,Keeper Contract,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2871,Lane Thomas,WSH,CF,,,,105,,MLB,Btwn2Jackies,Keeper Contract,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2872,Lars Nootbaar,STL,CF,,,,193,,MLB,Weekend Warriors,Keeper Contract,[6] Y2,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2883,Logan Gilbert,SEA,SP,26,MLB,,66,,MLB,Hammers,Keeper Contract ,[5] Y1,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2884,Logan Webb,SF,SP,26,MLB,,49,,MLB,not much of a donkey,Keeper Contract ,[5] Y1,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2889,Lourdes Gurriel Jr.,AZ,OF,,,,208,,MLB,The Bluke Blokes,Keeper Contract,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2893,Luis Arraez,MIA,2B,26,MLB,,141,,MLB,not much of a donkey,Keeper Contract ,[5] Y1,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2899,Luis García,WSH,2B,,,,411,,MLB,Jepordizers!,,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2907,Luis Robert,CWS,CF,,MLB,,31,,MLB,Andromedans,Keeper Contract,[5] Y1,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2908,Luis Severino,NYM,SP,29,MLB,,292,,MLB,Btwn2Jackies,Keeper Contract ,[6] Y2,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2927,Manuel Rodríguez,TB,RP,,,,810,,MLB,Jepordizers!,,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2928,Marcell Ozuna,ATL,OF,,,,130,,MLB,The Bluke Blokes,Keeper Contract,[6] Y2,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2946,Matt Chapman,TOR,3B,,,,243,,MLB,Rick Vaughn,Keeper Contract,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2952,Matt McLain,CIN,"2B,SS",24,MLB,,59,,MLB,Weekend Warriors,Keeper Contract,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2956,Matt Strahm,PHI,"SP,RP",,,,397,,MLB,Whiz Kids,,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2960,Matthew Boyd,CHC,SP,,,,,,MLB,not much of a donkey,,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2974,Michael King,SD,"SP,RP",,,,160,,MLB,Andromedans,Keeper Contract,[6] Y2,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2975,Michael Kopech,CWS,SP,27,MLB,,400,,MLB,Jepordizers!,Keeper Contract ,[6] Y2,Roster,24 Rosters
Zach,1/21/2025 21:51:45,2984,Michael Wacha,KC,SP,,,,246,,MLB,La Flama Blanca,Keeper Contract,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,3009,Mike Yastrzemski,SF,CF,,,,447,,MLB,Country Fried Lamb,,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,3014,Mitch Keller,PIT,SP,,,,144,,MLB,Btwn2Jackies,Keeper Contract,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,3023,Nathaniel Lowe,TEX,1B,27,MLB,,172,,MLB,Jepordizers!,Keeper Contract,[5] Y1,Roster,24 Rosters
Zach,1/21/2025 21:51:45,3043,Nick Pivetta,BOS,"SP,RP",,,,177,,MLB,Weekend Warriors,Keeper Contract,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,3054,Nico Hoerner,CHC,"2B,SS",26,MLB,,60,,MLB,Country Fried Lamb,Keeper Contract,[5] Y1,Roster,24 Rosters
