Admin,Date & Time,UPID/LUPID,Player Name,Team,Pos,Age,Level,Team Rank,Rank,ETA,Player Type,Owner,Contract Status,Years,Update Type,Event 
,2/22/2023 10:13:00,4409,Miles Mastrobuoni,,,,,,,,,Omens In The Outfield,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3670,Joey Ortiz,,,,,,,,,The Bluke Blokes,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3907,Brandon Barriera,,,,,,,,,The Bluke Blokes,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3563,Connor Norby,,,,,,,,,The Bluke Blokes,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3618,Jhonkensy Noel,,,,,,,,,The Bluke Blokes,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3991,Ronan Kopp,,,,,,,,,The Bluke Blokes,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3901,Cole Young,,,,,,,,,The Bluke Blokes,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3826,Casey Schmitt,,,,,,,,,The Bluke Blokes,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3978,Cody Morris,,,,,,,,,The Bluke Blokes,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3921,JR Ritchie,,,,,,,,,The Bluke Blokes,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3476,Matt Liberatore,,,,,,,,,The Bluke Blokes,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3516,Brayan Rocchio,,,,,,,,,Batin Stallion,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,2471,Ethan Wilson,,,,,,,,,Batin Stallion,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3888,Kevin Parada,,,,,,,,,Batin Stallion,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3898,Drew Gilbert,,,,,,,,,Batin Stallion,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3860,Otto Lopez,,,,,,,,,Batin Stallion,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3511,Gabriel Arias,,,,,,,,,Batin Stallion,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3906,Jacob Misiorowski,,,,,,,,,Batin Stallion,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3923,Justin Campbell,,,,,,,,,Batin Stallion,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3596,Hao Yu Lee,,,,,,,,,Batin Stallion,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3579,Miguel Bleis,,,,,,,,,Btwn2Jackies,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3521,James Wood,,,,,,,,,Btwn2Jackies,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3897,Gavin Cross,,,,,,,,,Btwn2Jackies,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,2593,Jake Eder,,,,,,,,,Btwn2Jackies,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,4342,Will Brennan,,,,,,,,,Btwn2Jackies,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3691,Mason Auer,,,,,,,,,Btwn2Jackies,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3790,Moises Ballesteros,,,,,,,,,Btwn2Jackies,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3474,Liover Peguero,,,,,,,,,Btwn2Jackies,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3805,Will Wagner,,,,,,,,,Btwn2Jackies,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3708,Jeferson Quero,,,,,,,,,Country Fried Lamb,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3527,Adael Amador,,,,,,,,,Country Fried Lamb,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3779,Bubba Chandler,,,,,,,,,Country Fried Lamb,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3899,Jett Williams,,,,,,,,,Country Fried Lamb,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,2005,Aaron Zavala,,,,,,,,,Country Fried Lamb,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3903,Chase DeLauter,,,,,,,,,Country Fried Lamb,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3559,Coby Mayo,,,,,,,,,Country Fried Lamb,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3997,Marc Church,,,,,,,,,Country Fried Lamb,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3580,James Triantos,,,,,,,,,Country Fried Lamb,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3823,Aeverson Arteaga,,,,,,,,,Country Fried Lamb,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3893,Elijah Green,,,,,,,,,La Flama Blanca,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3499,Harry Ford,,,,,,,,,La Flama Blanca,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3902,Jace Jung,,,,,,,,,La Flama Blanca,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3169,Felnin Celsten,,,,,,,,,La Flama Blanca,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3746,Roderick Arias,,,,,,,,,La Flama Blanca,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,4628,Luis Morales,,,,,,,,,La Flama Blanca,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3663,Ben Kudrna,,,,,,,,,La Flama Blanca,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3504,Blake Walston,,,,,,,,,La Flama Blanca,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3620,Benny Montgomery,,,,,,,,,Hammers,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3520,Masyn Winn,,,,,,,,,Hammers,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3857,Tekoah Roby,,,,,,,,,Hammers,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3478,Andy Pages,,,,,,,,,Hammers,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3887,Zach Neto,,,,,,,,,Hammers,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3992,Christian Encarnacion-Strand,,,,,,,,,Hammers,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3853,Luisangel Acuna,,,,,,,,,Hammers,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,4021,Jack Leftwich,,,,,,,,,Hammers,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3911,Cooper Hjerpe,,,,,,,,,Hammers,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3948,Max Wagner,,,,,,,,,Hammers,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3566,Josue de Paula,,,,,,,,,Rick Vaughn,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3562,Heston Kjerstad,,,,,,,,,Rick Vaughn,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,6144,Jun-Seok Shim,,,,,,,,,Rick Vaughn,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3505,Brandon Williamson,,,,,,,,,Rick Vaughn,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,6137,Joendry Vargas,,,,,,,,,Rick Vaughn,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3940,Robby Snelling,,,,,,,,,Rick Vaughn,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3629,Warming Bernabel,,,,,,,,,Rick Vaughn,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3692,Nick Nastrini,,,,,,,,,Rick Vaughn,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3534,Ryne Nelson,,,,,,,,,Rick Vaughn,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,4463,Junior Caminero,,,,,,,,,not much of a donkey,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3655,Edouard Julien,,,,,,,,,not much of a donkey,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,2474,Evan Carter,,,,,,,,,not much of a donkey,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3466,Tyler Soderstrom,,,,,,,,,not much of a donkey,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3995,Tanner Bibee,,,,,,,,,not much of a donkey,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3640,Colt Keith,,,,,,,,,not much of a donkey,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3467,Orelvis Martinez,,,,,,,,,not much of a donkey,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,4584,Dahian Santos,,,,,,,,,not much of a donkey,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3905,Tyler Locklear,,,,,,,,,not much of a donkey,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,2429,Edgar Quero,,,,,,,,,The Scumbag Club,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3607,Chase Petty,,,,,,,,,The Scumbag Club,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3841,Willy Vasquez,,,,,,,,,The Scumbag Club,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3785,Carmen Mlodzinski,,,,,,,,,The Scumbag Club,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3652,Alex Santos,,,,,,,,,The Scumbag Club,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3496,Luis Matos,,,,,,,,,The Scumbag Club,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3811,Sterlin Thompson,,,,,,,,,The Scumbag Club,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3926,Dylan Beavers,,,,,,,,,The Scumbag Club,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3914,Dalton Rushing,,,,,,,,,Weekend Warriors,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3699,Dax Fulton,,,,,,,,,Weekend Warriors,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3932,Tucker Toman,,,,,,,,,Weekend Warriors,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3494,Ricky Tiedemann,,,,,,,,,Weekend Warriors,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3463,George Valera,,,,,,,,,Weekend Warriors,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3889,Dylan Lesko,,,,,,,,,Weekend Warriors,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3702,Ian Lewis,,,,,,,,,Weekend Warriors,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3701,Eddinson Paulino,,,,,,,,,Weekend Warriors,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3809,Lazaro Montes,,,,,,,,,Weekend Warriors,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3720,Ethan Salas,,,,,,,,,Weekend Warriors,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,2211,Bryce Miller,,,,,,,,,Whiz Kids,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3730,Mason Montgomery,,,,,,,,,Whiz Kids,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3909,Connor Prielipp,,,,,,,,,Whiz Kids,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3910,Spencer Jones,,,,,,,,,Whiz Kids,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3803,Emerson Hancock,,,,,,,,,Whiz Kids,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3734,Vaun Brown,,,,,,,,,Whiz Kids,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3697,Grant McCray,,,,,,,,,Whiz Kids,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3934,Noah Schultz,,,,,,,,,Whiz Kids,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3944,Jacob Melton,,,,,,,,,Whiz Kids,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,2236,Carson Williams,,,,,,,,,Law-Abiding Citizens,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3875,Jarlin Susana,,,,,,,,,Law-Abiding Citizens,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3675,Sammy Zavala,,,,,,,,,Law-Abiding Citizens,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3894,Cade Horton,,,,,,,,,Law-Abiding Citizens,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,2490,Gabriel Gonzalez,,,,,,,,,Law-Abiding Citizens,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3571,Bryan Mata,,,,,,,,,Law-Abiding Citizens,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3764,Yasser Mercedes,,,,,,,,,Law-Abiding Citizens,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3915,Gabriel Hughes,,,,,,,,,Law-Abiding Citizens,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,2688,Johan Rojas,,,,,,,,,Law-Abiding Citizens,,,Draft,23 Preseason Prospect Draft 
,8/14/2023 22:31:00,6562,Dylan Crews,,,,,,,,,Jepordizers!,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,6563,Paul Skenes,,,,,,,,,The Bluke Blokes,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,6565,Wyatt Langford,,,,,,,,,The Scumbag Club,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,6568,Walker Jenkins,,,,,,,,,Law-Abiding Citizens,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,6577,Rhett Lowder,,,,,,,,,Weekend Warriors,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,6566,Max Clark,,,,,,,,,Btwn2Jackies,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,3709,Tyler Black,,,,,,,,,not much of a donkey,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,6141,Sebastian Walcott,,,,,,,,,Rick Vaughn,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,6570,Hurston Waldrep,,,,,,,,,Hammers,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,6571,Noble Meyer,,,,,,,,,La Flama Blanca,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,6606,Nolan Schanuel,,,,,,,,,Whiz Kids,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,3895,Justin Crawford,,,,,,,,,Country Fried Lamb,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,3693,Yanquiel Fernandez,,,,,,,,,Jepordizers!,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,3745,Everson Pereira,,,,,,,,,The Bluke Blokes,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,6572,Chase Dollander,,,,,,,,,The Scumbag Club,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,3900,Carson Whisenhunt,,,,,,,,,Law-Abiding Citizens,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,3494,Ricky Tiedemann,,,,,,,,,Weekend Warriors,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,2581,Jacob Wilson,,,,,,,,,Btwn2Jackies,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,3935,Ryan Clifford,,,,,,,,,not much of a donkey,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,4289,Nick Frasso,,,,,,,,,Ghost Stallion,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,6573,Kyle Teel,,,,,,,,,Rick Vaughn,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,3904,Drew Thorpe,,,,,,,,,Hammers,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,3893,Elijah Green,,,,,,,,,La Flama Blanca,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,6578,Aidan Miller,,,,,,,,,Whiz Kids,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,2298,Connor Phillips,,,,,,,,,Omens In The Outfield,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,6598,Colin Houck,,,,,,,,,Country Fried Lamb,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,6581,Thomas White,,,,,,,,,Jepordizers!,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,3901,Cole Young,,,,,,,,,The Bluke Blokes,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,2429,Edgar Quero,,,,,,,,,The Scumbag Club,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,3894,Cade Horton,,,,,,,,,Law-Abiding Citizens,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,3720,Ethan Salas,,,,,,,,,Weekend Warriors,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,3551,Spencer Schwellenbach,,,,,,,,,Btwn2Jackies,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,2474,Evan Carter,,,,,,,,,not much of a donkey,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,3584,Owen Caissie,,,,,,,,,Ghost Stallion,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,6144,Jun-Seok Shim,,,,,,,,,Rick Vaughn,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,5327,Joey Loperfido,,,,,,,,,Hammers,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,3902,Jace Jung,,,,,,,,,La Flama Blanca,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,6590,Arjun Nimmala,,,,,,,,,Whiz Kids,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,2620,Jared Jones,,,,,,,,,Omens In The Outfield,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,6569,Tommy Troy,,,,,,,,,Country Fried Lamb,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,6599,Bryce Eldridge,,,,,,,,,Jepordizers!,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,6583,Cooper Pratt,,,,,,,,,The Bluke Blokes,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,3841,Willy Vasquez,,,,,,,,,The Scumbag Club,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,6097,Abner Uribe,,,,,,,,,Law-Abiding Citizens,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,3889,Dylan Lesko,,,,,,,,,Weekend Warriors,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,2593,Jake Eder,,,,,,,,,Btwn2Jackies,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,3467,Orelvis Martinez,,,,,,,,,not much of a donkey,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,3906,Jacob Misiorowski,,,,,,,,,Ghost Stallion,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,6137,Joendry Vargas,,,,,,,,,Rick Vaughn,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,3853,Luisangel Acuña,,,,,,,,,Hammers,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,4675,Felnin Celesten,,,,,,,,,La Flama Blanca,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,3778,Anthony Solometo,,,,,,,,,Whiz Kids,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,4296,Allan Winans,,,,,,,,,Omens In The Outfield,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,2486,Frank Mozzicato,,,,,,,,,Country Fried Lamb,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,4612,Caden Dana,,,,,,,,,Weekend Warriors,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,6609,Brayden Taylor,,,,,,,,,La Flama Blanca,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,6595,Colt Emerson,,,,,,,,,Whiz Kids,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,3840,Xavier Edwards,,,,,,,,,Jepordizers!,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,3978,Cody Morris,,,,,,,,,The Bluke Blokes,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,5148,Luis Baez,,,,,,,,,The Scumbag Club,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,2688,Johan Rojas,,,,,,,,,Law-Abiding Citizens,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,6607,Chase Davis,,,,,,,,,Weekend Warriors,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,6585,Brock Wilken,,,,,,,,,Btwn2Jackies,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,6592,Matt Shaw,,,,,,,,,not much of a donkey,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,4593,Samuel Basallo,,,,,,,,,Ghost Stallion,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,6580,Enrique Bradfield Jr.,,,,,,,,,Rick Vaughn,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,6149,Rayner Arias,,,,,,,,,Hammers,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,6718,Charlee Soto,,,,,,,,,La Flama Blanca,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,3951,Sal Stewart,,,,,,,,,Whiz Kids,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,3686,Landon Knack,,,,,,,,,Omens In The Outfield,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,3580,James Triantos,,,,,,,,,Country Fried Lamb,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,4631,Nelson Rada,,,,,,,,,Jepordizers!,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,3984,Xavier Isaac,,,,,,,,,The Bluke Blokes,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,3607,Chase Petty,,,,,,,,,The Scumbag Club,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,2490,Gabriel Gonzalez,,,,,,,,,Law-Abiding Citizens,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,6704,Yoeilin Cespedes,,,,,,,,,Weekend Warriors,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,3920,Owen Murphy,,,,,,,,,Btwn2Jackies,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,4029,Dyan Jorge,,,,,,,,,not much of a donkey,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,6558,Victor Scott II,,,,,,,,,Ghost Stallion,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,6791,Payton Martin,,,,,,,,,Rick Vaughn,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,3478,Andy Pages,,,,,,,,,Hammers,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,3663,Ben Kudrna,,,,,,,,,La Flama Blanca,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,6555,Jakob Marsee,,,,,,,,,Whiz Kids,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,3854,Lawrence Butler,,,,,,,,,Omens In The Outfield,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,6646,Sammy Stafura,,,,,,,,,Country Fried Lamb,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,3563,Connor Norby,,,,,,,,,Jepordizers!,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,3857,Tekoah Roby,,,,,,,,,Country Fried Lamb,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,3144,Robert Gasser,,,,,,,,,Jepordizers!,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,6602,Blake Mitchell,,,,,,,,,Law-Abiding Citizens,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,4678,Jairo Iriarte,,,,,,,,,Hammers,,,Draft,23 Midseason Prospect Draft
,8/14/2023 22:31:00,3921,JR Ritchie,,,,,,,,,Country Fried Lamb,,,Draft,23 Midseason Prospect Draft
